type_habits,prix,adresse,image_link
Pantalon homme,7.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4729769_uploaded_image1_1715038254.jpg
Jeans homme,7.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4729768_uploaded_image1_1715038159.jpg
Vetement homme,Prix.sur.demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4729755_uploaded_image1_1715037766.jpg
Vêtements hommes,10.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4779009_uploaded_image1_1717507519.jpg
Habits hommes et femmes,Prix.sur.demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4777577_uploaded_image1_1717445267.jpg
Shorts homme,Prix.sur.demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4776896_uploaded_image1_1717422890.jpg
T-shirt 3 pièces,5.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775299_uploaded_image1_1717338943.jpg
Costume africain,30.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775207_uploaded_image1_1717335292.jpg
Costume africain,Prix.sur.demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4774385_uploaded_image1_1717264505.jpg
T-shirts col rond,2.500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4774359_uploaded_image1_1717263093.jpg
Lacoste,5.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4772216_uploaded_image1_1717159239.jpg
Lacoste homme,5.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4772202_uploaded_image1_1717158857.jpg
T-shirts en coton,3.500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4771706_uploaded_image1_1717145315.jpg
Ensemble homme,12.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4769387_uploaded_image1_1717022763.jpg
Tenue africaine pour homme,35.000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4769237_uploaded_image1_1717016823.jpg
Jogging homme,8.000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4769173_uploaded_image1_1717013042.jpg
Vêtements homme,12.500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4768743_uploaded_image1_1716998807.jpg
T-shirt  coton,5.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717169_uploaded_image1_1714432428.jpg
Pantalon Kaki,7.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717161_uploaded_image1_1714432138.jpg
Polos Lacoste coton,6.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717079_uploaded_image1_1714429637.jpg
Polos Lacoste coton,6.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717077_uploaded_image1_1714429516.jpg
Vêtements homme,Prix.sur.demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4767463_uploaded_image1_1716943558.jpg
Jilbab  pour homme,10.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767327_uploaded_image1_1716933347.jpg
Caleçons,12.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766870_uploaded_image1_1716912490.jpg
Vêtements homme,Prix.sur.demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766831_uploaded_image2_1716911332.jpeg
Ensemble homme,10.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4763382_uploaded_image1_1716753258.jpg
Calçons homme,12.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4716493_uploaded_image1_1714403514.jpg
Ensemble homme,12.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4714165_uploaded_image1_1714234624.jpg
Jogging homme,8.000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4759189_uploaded_image1_1716498124.jpg
Shorts homme,5.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4712810_uploaded_image1_1714149835.jpg
Ensemble homme,5.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4712804_uploaded_image1_1714149621.jpg
Ensemble homme,7.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4712787_uploaded_image1_1714148819.jpg
Vêtement homme,10.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4712792_uploaded_image1_1714148979.jpg
Shorts,5.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4712771_uploaded_image1_1714147987.jpg
Vêtement homme,12.000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4757028_uploaded_image1_1716407326.jpg
Jogging homme,8.000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4757024_uploaded_image1_1716407198.jpg
Vêtements homme,11.000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4756317_uploaded_image1_1716382069.jpg
T-shirt coton unique,2.000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4752973_uploaded_image1_1716207747.jpg
Pantalon homme,7.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700684_uploaded_image1_1713541491.jpg
Polo homme,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4744933_uploaded_image1_1715777764.2.jpeg
Polo homme,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4744885_uploaded_image1_1715776610.54.jpeg
Polo homme,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4744887_uploaded_image1_1715776660.73.jpeg
Polo homme,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4744889_uploaded_image1_1715776705.71.jpeg
Polo homme,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4744884_uploaded_image1_1715776573.33.jpeg
T-shirt,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717861_uploaded_image1_1714478418.54.jpeg
T-shirt homme,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717849_uploaded_image1_1714478046.02.jpeg
T-shirt homme,Prix.sur.demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4717854_uploaded_image1_1714478129.85.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700679_uploaded_image1_1713541355.73.jpeg
T- shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700682_uploaded_image1_1713541414.01.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700661_uploaded_image1_1713540895.84.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700663_uploaded_image1_1713540944.8.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700652_uploaded_image1_1713540772.24.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700656_uploaded_image1_1713540853.7.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700667_uploaded_image1_1713541084.53.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700670_uploaded_image1_1713541202.01.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700649_uploaded_image1_1713540655.2.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700644_uploaded_image1_1713540537.85.jpeg
T-shirt,10.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4700639_uploaded_image1_1713540450.86.jpeg
